,Months since Last Donation,Number of Donations,Total Volume Donated (c.c.),Months since First Donation,Made Donation in March 2007
485,2,4,1000,16,0
630,2,6,1500,28,1
5,2,6,1500,28,0
546,4,2,500,4,0
54,4,2,500,4,0
445,2,7,1750,35,1
510,4,2,500,4,1
311,4,2,500,4,0
476,4,2,500,4,0
474,12,11,2750,23,0
527,3,17,4250,86,0
506,4,9,2250,38,1
424,4,8,2000,34,1
155,4,9,2250,40,0
94,2,5,1250,26,0
719,6,17,4250,70,0
676,0,8,2000,59,0
271,2,3,750,14,0
274,2,10,2500,64,0
535,4,9,2250,46,0
653,4,5,1250,23,0
493,4,8,2000,40,1
279,2,12,3000,82,0
564,11,24,6000,64,0
656,2,7,1750,46,1
386,4,11,2750,61,0
182,1,7,1750,57,0
212,2,11,2750,79,1
667,2,3,750,16,1
308,4,5,1250,26,1
421,2,6,1500,41,1
172,2,5,1250,33,1
662,2,4,1000,26,0
284,2,5,1250,34,0
731,4,8,2000,46,1
544,4,8,2000,48,1
145,2,2,500,10,1
747,4,5,1250,28,0
168,2,2,500,10,0
35,2,11,2750,88,0
81,2,3,750,19,0
594,2,5,1250,37,0
3,9,5,1250,19,0
687,2,2,500,11,0
29,2,9,2250,74,0
151,4,3,750,16,0
213,4,3,750,16,0
135,4,2,500,9,1
472,6,3,750,14,0
51,2,2,500,11,0
705,2,2,500,11,1
651,2,2,500,11,0
556,2,7,1750,58,1
79,2,1,250,2,1
477,2,1,250,2,0
90,2,1,250,2,0
341,2,1,250,2,0
456,2,1,250,2,0
692,2,1,250,2,0
275,2,1,250,2,0
227,2,1,250,2,0
550,2,1,250,2,1
247,2,1,250,2,1
293,2,1,250,2,1
587,2,1,250,2,0
291,2,1,250,2,0
392,2,1,250,2,0
220,2,1,250,2,0
410,2,1,250,2,0
88,2,1,250,2,0
589,2,1,250,2,0
61,2,1,250,2,0
359,11,10,2500,35,0
671,11,4,1000,16,1
399,4,6,1500,41,1
631,2,3,750,22,0
432,4,4,1000,26,1
565,10,4,1000,16,0
618,2,4,1000,35,0
586,4,12,3000,88,0
59,13,8,2000,26,0
725,4,5,1250,34,0
367,4,5,1250,35,1
605,4,7,1750,52,0
296,4,7,1750,52,0
238,2,2,500,14,0
655,2,5,1250,47,1
314,9,8,2000,38,1
609,4,6,1500,47,0
113,9,9,2250,45,0
596,4,6,1500,52,0
242,4,7,1750,58,0
6,6,2,500,11,1
533,11,9,2250,38,0
19,2,2,500,16,0
434,2,7,1750,76,0
553,11,6,1500,27,0
517,11,3,750,14,0
239,4,1,250,4,0
689,4,1,250,4,0
562,4,1,250,4,0
111,4,1,250,4,1
580,4,1,250,4,0
379,4,1,250,4,0
684,4,1,250,4,0
252,4,1,250,4,0
415,4,1,250,4,1
282,4,1,250,4,0
746,4,3,750,24,0
217,4,1,250,4,0
150,4,1,250,4,0
540,4,1,250,4,0
709,10,8,2000,39,0
31,14,7,1750,26,0
615,8,10,2500,63,0
494,4,2,500,14,0
195,2,4,1000,43,0
717,8,9,2250,58,0
62,8,8,2000,52,1
649,11,22,5500,98,0
264,4,3,750,25,1
414,11,17,4250,79,1
706,9,2,500,11,0
693,4,5,1250,46,0
219,7,12,3000,86,0
555,11,2,500,11,0
452,11,2,500,11,0
519,2,6,1500,75,0
400,11,8,2000,41,1
70,11,3,750,16,1
669,12,13,3250,59,0
115,2,3,750,35,0
256,16,8,2000,28,0
269,11,7,1750,37,0
620,4,3,750,28,0
205,12,12,3000,58,0
578,4,4,1000,41,0
257,11,14,3500,73,1
498,4,5,1250,58,0
38,4,4,1000,43,1
268,3,2,500,23,0
707,11,8,2000,46,0
71,4,7,1750,82,0
702,13,4,1000,21,0
480,16,7,1750,28,0
11,7,2,500,16,0
215,4,5,1250,58,0
670,4,5,1250,58,0
120,4,4,1000,46,0
465,14,13,3250,57,0
385,4,3,750,34,0
457,14,18,4500,78,0
36,11,8,2000,48,0
76,14,16,4000,70,0
647,14,4,1000,22,1
44,14,5,1250,26,0
678,8,2,500,16,0
43,11,2,500,14,0
598,4,2,500,23,0
616,14,3,750,19,1
634,16,12,3000,50,0
727,11,4,1000,28,0
102,11,5,1250,35,0
304,2,4,1000,70,0
133,14,5,1250,28,0
567,14,2,500,14,0
362,14,2,500,14,0
114,14,2,500,14,0
575,14,6,1500,34,0
394,11,5,1250,37,1
549,4,5,1250,74,0
384,11,3,750,23,0
17,11,5,1250,38,0
121,12,9,2250,60,0
72,9,1,250,9,0
581,9,1,250,9,0
261,4,2,500,29,0
216,11,2,500,17,0
153,14,4,1000,26,0
626,11,9,2250,72,1
658,11,5,1250,41,0
458,9,5,1250,51,1
324,14,8,2000,50,1
253,16,7,1750,38,0
186,14,2,500,16,0
171,14,16,4000,98,0
260,14,4,1000,28,1
21,16,7,1750,39,0
32,14,7,1750,47,0
20,16,6,1500,35,1
413,11,3,750,28,0
128,11,1,250,11,1
142,9,3,750,34,0
185,14,4,1000,30,0
451,23,38,9500,98,0
469,11,1,250,11,0
77,11,1,250,11,0
159,11,1,250,11,0
152,11,1,250,11,0
551,11,1,250,11,0
